"TELEPULES_ID","TELEPULES","LAKOS"
"30207","Borsodszentgyörgy","1122"
"16799","Borsodszirák","1185"
"09894","Borsosberény","1006"
"04765","Borszörcsök","362"
"30252","Borzavár","705"
"14368","Bosta","150"
"22239","Botpalád","582"
"13365","Botykapeterd","335"
"05023","Bozsok","326"
"06390","Bozzai","324"
"13471","Bucsa","2093"
"32984","Bucsu","593"
"07986","Bucsuta","226"
"03407","Budajenő","1830"
"23463","Budakalász","10452"
"12052","Budakeszi","14311"
"09566","Budapest I. kerület","24628"
"03179","Budapest II. kerület","88086"
"18069","Budapest III. kerület","123552"
"05467","Budapest IV. kerület","98800"
"29586","Budapest IX. kerület","63268"
"13392","Budapest V. kerület","27146"
"16586","Budapest VI. kerület","42979"
"29744","Budapest VII. kerület","64451"
"25405","Budapest VIII. kerület","84300"
"10700","Budapest X. kerület","80845"
"14216","Budapest XI. kerület","144992"
"24697","Budapest XII. kerület","55922"
"24299","Budapest XIII. kerület","117055"
"16337","Budapest XIV. kerület","123128"
"04011","Budapest XIX. kerület","62031"
"11314","Budapest XV. kerület","79944"
"08208","Budapest XVI. kerület","68393"
"02112","Budapest XVII. kerület","78599"
"29285","Budapest XVIII. kerület","94041"
"06026","Budapest XX. kerület","63707"
"13189","Budapest XXI. kerület","76816"
"10214","Budapest XXII. kerület","50998"
"34139","Budapest XXIII. kerület","20004"
"23278","Budaörs","29428"
"32823","Bugac","2848"
"33631","Bugacpusztaháza","302"
"32027","Bugyi","5380"
"19707","Buj","2237"
"14234","Buják","2129"
"17358","Buzsák","1402"
"19363","Bábolna","3630"
"28316","Bábonymegyer","815"
"10719","Bácsalmás","6851"
"10180","Bácsbokod","2694"
"27234","Bácsborsód","1203"
"08697","Bácsszentgyörgy","162"
"30155","Bácsszőlős","367"
"28769","Bágyogszovát","1280"
"24457","Bálványos","516"
"14173","Bánd","668"
"07603","Bánfa","189"
"25159","Bánhorváti","1359"
"24341","Bánk","671"
"08439","Bánokszentgyörgy","651"
"21953","Bánréve","1302"
"24378","Bár","537"
"03735","Bárdudvarnok","1218"
"20048","Bárna","1079"
"08624","Bársonyos","740"
"26693","Báránd","2543"
"11712","Báta","1709"
"28909","Bátaapáti","401"
"08864","Bátaszék","6466"
"03656","Bátmonostor","1495"
"33534","Bátonyterenye","12826"
"24022","Bátor","407"
"02990","Bátorliget","668"
"11961","Bátya","2051"
"18698","Bázakerettye","820"
"22901","Béb","264"
"27058","Békás","215"
"09760","Békés","19981"
"15200","Békéscsaba","64074"
"02680","Békésszentandrás","3790"
"26189","Békéssámson","2341"
"33260","Bélapátfalva","3027"
"06910","Bélavár","341"
"19390","Bélmegyer","997"
"25098","Bénye","1249"
"32911","Bér","373"
"32124","Bérbaltavár","478"
"08305","Bócsa","1803"
"27429","Bódvalenke","172"
"33303","Bódvarákó","108"
"05926","Bódvaszilas","1041"
"19929","Bókaháza","314"
"33154","Bóly","3984"
"31006","Bózsva","183"
"05476","Bő","632"
"05306","Bőcs","2799"
"33950","Bőny","2187"
"26277","Bőszénfa","575"
"15501","Bősárkány","2125"
"22877","Böde","292"
"04163","Bödeháza","65"
"11651","Bögöt","380"
"07296","Bögöte","294"
"26532","Böhönye","2350"
"11299","Bököny","3225"
"06558","Bölcske","2828"
"06619","Börcs","1296"
"21139","Börzönce","50"
"20613","Búcsúszentlászló","825"
"02431","Bük","3442"
"27890","Bükkaranyos","1465"
"19406","Bükkmogyorósd","136"
"10621","Bükkszenterzsébet","1040"
"08022","Bükkszentkereszt","1188"
"22099","Bükkszentmárton","318"
"02963","Bükkszék","713"
"32887","Bükkzsérc","983"
"13596","Bükkábrány","1558"
"23162","Bükkösd","1117"
"07533","Bürüs","93"
"08703","Büssü","331"
"23977","Büttös","174"
"27085","Cakóháza","48"
"13152","Cece","2547"
"11341","Cegléd","38066"
"20640","Ceglédbercel","4424"
"27094","Celldömölk","10823"
"03665","Cered","1100"
"09876","Chernelházadamonya","197"
"22938","Cibakháza","4435"
"03939","Cigánd","2681"
"19284","Cikó","838"
"15954","Cirák","563"
"31334","Csabacsűd","1818"
"34078","Csabaszabadi","348"
"30544","Csabdi","1195"
"30924","Csabrendek","2973"
"12928","Csaholc","512"
"16072","Csajág","815"
"22293","Csanytelek","2817"
"02121","Csanádalberti","441"
"20455","Csanádapáca","2656"
"05379","Csanádpalota","2969"
"06132","Csapi","176"
"08563","Csapod","510"
"30614","Csarnóta","140"
"29416","Csaroda","579"
"34175","Csataszög","306"
"33109","Csatka","242"
"23436","Csatár","568"
"21591","Csebény","100"
"26107","Csegöld","609"
"20251","Csehbánya","266"
"19488","Csehi","259"
"12724","Csehimindszent","334"
"23816","Csempeszkopács","306"
"05184","Csemő","4253"
"32285","Csengele","1958"
"30641","Csenger","4753"
"24095","Csengersima","672"
"26851","Csengerújfalu","779"
"12344","Csengőd","2077"
"08493","Csenyéte","451"
"12140","Csepreg","3470"
"26082","Cserdi","390"
"21935","Cserháthaláp","355"
"22594","Cserhátsurány","838"
"32319","Cserhátszentiván","143"
"05795","Cserkeszőlő","2066"
"03896","Cserkút","552"
"28459","Csernely","827"
